date,close,ic_struct,ic_dir,ic_flux,ic_cycle,regime,signal,position,strategy_return,equity_coeziv,buy_hold_equity,drawdown,ret_1d,outcome_1d,ret_7d,outcome_7d,ret_30d,outcome_30d,ret_90d,outcome_90d
2011-02-01 00:00:00+00:00,0.7077,97.25079815537424,95.15319369915181,7.267091441363874,50.0,bull_late,long,1,0.0,1.0,1.0,0.0,0.011728133389854456,correct,0.2971598134802884,correct,0.3269747067966653,correct,3.521689981630635,correct
2011-02-02 00:00:00+00:00,0.716,97.41042923022349,96.46875540938203,7.370415016359573,50.0,bull_late,long,1,0.011728133389854456,1.0117281333898545,1.0117281333898545,0.0,-0.02737430167597754,wrong,0.522346368715084,correct,0.258659217877095,correct,3.762569832402235,correct
2011-02-03 00:00:00+00:00,0.6964,97.48137637460093,96.60723558940627,7.198209058033413,50.0,bull_late,long,1,-0.02737430167597754,0.9840327822523669,0.9840327822523669,-0.02737430167597754,0.16456059735784034,correct,0.4076680068925904,correct,0.30715106260769676,correct,3.8908673176335444,correct
2011-02-04 00:00:00+00:00,0.811,97.55232351897835,97.23039639951531,6.802135353883244,50.0,bull_late,long,1,0.16456059735784034,1.145965804719514,1.145965804719514,0.0,0.13440197287299638,correct,0.3193588162762022,correct,0.10961775585696665,correct,3.1097410604192355,correct
2011-02-05 00:00:00+00:00,0.92,97.57006030507272,97.05729617448503,6.4232822455657015,50.0,bull_late,long,1,0.13440197287299638,1.2999858697188076,1.2999858697188074,0.0,-0.022065217391304293,wrong,0.17391304347826098,correct,-0.03804347826086962,wrong,2.752173913043478,correct
2011-02-06 00:00:00+00:00,0.8997,97.64100744945016,96.91881599446079,6.354399862235226,50.0,bull_late,long,1,-0.022065217391304293,1.2713013988978383,1.271301398897838,-0.022065217391304293,-0.010781371568300613,wrong,0.16705568522840952,correct,-0.03301100366788934,wrong,3.0469045237301318,correct
2011-02-07 00:00:00+00:00,0.89,97.69421780773324,97.85355720962437,6.1994144997416925,50.0,bull_late,long,1,-0.010781371568300613,1.2575950261410205,1.2575950261410203,-0.032608695652173836,0.03146067415730336,correct,0.202247191011236,correct,-0.028651685393258353,wrong,3.343820224719101,correct
2011-02-08 00:00:00+00:00,0.918,97.78290173820504,97.92279729963649,6.3371792664026145,50.0,bull_late,long,1,0.03146067415730336,1.2971598134802884,1.2971598134802884,-0.0021739130434782483,0.18736383442265803,correct,0.14379084967320255,correct,0.01623093681917198,correct,3.1394335511982563,correct
2011-02-09 00:00:00+00:00,1.09,97.7119545938276,98.32092781720617,5.47614947477183,50.0,bull_late,long,1,0.18736383442265803,1.540200649992935,1.540200649992935,0.0,-0.1006422018348625,wrong,-0.041284403669724856,wrong,-0.19266055045871566,wrong,4.330275229357797,correct
2011-02-10 00:00:00+00:00,0.9803,97.8006385242994,97.88817725463043,5.0111933872912005,50.0,bull_late,long,1,-0.1006422018348625,1.3851914653101596,1.3851914653101596,-0.10064220183486261,0.09150260124451703,correct,0.06089972457411008,correct,-0.06355197388554512,wrong,4.61052738957462,correct
2011-02-11 00:00:00+00:00,1.07,97.83611209648812,98.18244763718192,5.1489581539521225,50.0,bull_late,long,1,0.09150260124451703,1.5119400876077433,1.5119400876077436,-0.01834862385321112,0.009345794392523477,correct,-0.1599065420560748,wrong,-0.16588785046728982,wrong,4.887850467289719,correct
